regNo,TCC,TCE,TPE,GPA,PrevCCC,PrevCCE,PrevCPE,PrevCGPA,CCC,CCE,CPE,CGPA,session,semester,level
19/49008/UE,22,15,36,1.64,79,79,208,2.63,101,94,244,2.42,2020/2021,1,300
19/49020/UE,22,22,79,3.59,79,79,287,3.63,101,101,366,3.62,2020/2021,1,300
19/49029/UE,24,24,68,2.83,79,77,227,2.87,103,101,295,2.86,2020/2021,1,300
19/49046/UE,22,22,88,4,82,79,294,3.59,104,101,382,3.67,2020/2021,1,300
19/49047/UE,22,22,62,2.82,79,79,247,3.13,101,101,309,3.06,2020/2021,1,300
19/49048/UE,22,19,51,2.32,79,79,264,3.34,101,98,315,3.12,2020/2021,1,300
19/49049/UE,22,21,70,3.18,83,79,227,2.73,105,100,297,2.83,2020/2021,1,300
19/49050/UE,22,22,92,4.18,79,79,324,4.1,101,101,416,4.12,2020/2021,1,300
19/49052/UE,23,19,56,2.43,82,74,181,2.21,105,93,237,2.26,2020/2021,1,300
19/49059/UE,24,3,3,0.13,92,48,95,1.03,116,51,98,0.84,2020/2021,1,300
19/49060/UE,22,19,58,2.64,79,79,264,3.34,101,98,322,3.19,2020/2021,1,300
19/49062/UE,22,22,92,4.18,79,79,326,4.13,101,101,418,4.14,2020/2021,1,300
19/49069/UE,22,22,41,1.86,82,79,227,2.77,104,101,268,2.58,2020/2021,1,300
19/49078/UE,22,22,88,4,79,79,300,3.8,101,101,388,3.84,2020/2021,1,300
19/49080/UE,23,10,17,0.74,85,72,152,1.79,108,82,169,1.56,2020/2021,1,300
19/49083/UE,22,22,87,3.95,79,79,276,3.49,101,101,363,3.59,2020/2021,1,300
19/49086/UE,23,20,28,1.22,79,75,207,2.62,102,95,235,2.3,2020/2021,1,300
19/49090/UE,22,22,77,3.5,79,79,260,3.29,101,101,337,3.34,2020/2021,1,300
19/49096/UE,22,22,84,3.82,79,79,318,4.03,101,101,402,3.98,2020/2021,1,300
19/49101/UE,22,22,61,2.77,82,79,234,2.85,104,101,295,2.84,2020/2021,1,300
19/49102/UE,22,22,70,3.18,82,79,225,2.74,104,101,295,2.84,2020/2021,1,300
19/49107/UE,22,22,88,4,79,79,318,4.03,101,101,406,4.02,2020/2021,1,300
19/49114/UE,24,14,23,0.96,82,75,183,2.23,106,89,206,1.94,2020/2021,1,300
19/49124/UE,22,18,38,1.73,79,76,180,2.28,101,94,218,2.16,2020/2021,1,300
